"Story","Title","Result","Date","Stability","Duration (s)"
"Learn about the application","Should be able to identify the application","SUCCESS","2022-03-17T19:31:05.436458091Z[Etc/UTC]","0.0","0.85"
"Learn about the application","Should see how to begin","SUCCESS","2022-03-17T19:31:06.36503621Z[Etc/UTC]","0.0","0.67"
"Download the app","Should see the number of todos decrease when an item is completed","SUCCESS","2022-03-17T19:31:07.179984433Z[Etc/UTC]","0.0","1.21"
"Download the app","Should be able to download the application","SUCCESS","2022-03-17T19:31:08.491585403Z[Etc/UTC]","0.0","11.62"
"Complete a todo","Should be able to complete a todo","SUCCESS","2022-03-17T19:31:20.269356275Z[Etc/UTC]","0.0","1.28"
"Complete a todo","Should see the number of todos decrease when an item is completed","SUCCESS","2022-03-17T19:31:21.653862073Z[Etc/UTC]","0.0","1.18"
"Filtering todos","Should be able to view only incomplete todos","SUCCESS","2022-03-17T19:31:22.99262062Z[Etc/UTC]","0.0","1.42"
"Filtering todos","Should be able to view only completed todos","SUCCESS","2022-03-17T19:31:24.5209423Z[Etc/UTC]","0.0","1.43"
"Filtering todos","Should be able to view both complete and incomplete todos","SUCCESS","2022-03-17T19:31:26.052956289Z[Etc/UTC]","0.0","1.59"
"Deleting todos","Should be able to delete todos","SUCCESS","2022-03-17T19:31:27.84895683Z[Etc/UTC]","0.0","1.14"
"Deleting todos","Should see deleting a todo decreases the remaining items count","SUCCESS","2022-03-17T19:31:29.093435408Z[Etc/UTC]","0.0","1.16"
"Todos belong to a user","Should not affect todos belonging to another user","SUCCESS","2022-03-17T19:31:30.429605426Z[Etc/UTC]","0.0","2.28"
"Clear completed todos","Should not be able to clear completed todos if none are complete","SUCCESS","2022-03-17T19:31:32.97552042Z[Etc/UTC]","0.0","1.02"
"Clear completed todos","Should be able to clear completed todos","SUCCESS","2022-03-17T19:31:34.103538502Z[Etc/UTC]","0.0","1.33"
"Add new todos","Should be able to add the first todo item","SUCCESS","2022-03-17T19:31:03.077880697Z[Etc/UTC]","0.0","0.88"
"Add new todos","Should be able to add additional todo items","SUCCESS","2022-03-17T19:31:04.034880466Z[Etc/UTC]","0.0","1.24"
